,Unit_ID,Registration_Number,Crime_No,Vehicle_Owner_ID,UserID,DEDT,Time,Date
0,57,AP26AY1382,2018000071,2018000397,4400061,7/25/2018 18:50,18:50,7/25/2018 
2,57,AP28CK8490,2017000064,2017002647,4400014,9/25/2017 18:17,18:17,9/25/2017 
3,57,HR38Q9825,2014000243,2014001174,4000039,12/1/2014 12:28,12:28,12/1/2014 
4,57,KA-09-EU-5865,2014000111,2014000332,4100020,4/22/2014 21:01,21:01,4/22/2014 
10,57,KA-09EY4016,2014000043,2014000140,3200150,2/22/2014 13:48,13:48,2/22/2014 
12,57,KA01C8153,2016000073,2016000372,5600028,9/7/2016 13:06,13:06,9/7/2016 
15,57,KA01EB0650,2014000176,2014000509,5300024,7/2/2014 19:44,19:44,7/2/2014 
16,57,KA01HA4212,2019000012,2019000099,4200023,2/26/2019 13:41,13:41,2/26/2019 
18,57,KA01P5716,2018000004,2018000024,4400112,1/15/2018 11:26,11:26,1/15/2018 
20,57,KA01P9020,2018000054,2018000250,5700038,6/17/2018 18:07,18:07,6/17/2018 
21,57,KA02EF7354,2018000072,2018000417,89700010,8/12/2018 18:22,18:22,8/12/2018 
25,57,KA04MA4283,2014000244,2014001178,5300053,12/2/2014 11:46,11:46,12/2/2014 
28,57,KA05EN5476,2014000061,2014000296,5900092,4/20/2014 18:40,18:40,4/20/2014 
31,57,KA05MM3094,2017000063,2017002426,5300083,7/19/2017 13:08,13:08,7/19/2017 
34,57,KA068718,2017000063,2017002575,205600002,7/27/2017 13:21,13:21,7/27/2017 
35,57,KA098169,2015000001,2015000014,125900011,1/11/2015 12:51,12:51,1/11/2015 
37,57,KA09A4520,2018000089,2018000449,6000001,10/1/2018 10:50,10:50,10/1/2018 
40,57,KA09B0864,2016000056,2016000321,5800023,7/28/2016 20:02,20:02,7/28/2016 
44,57,KA09EG9114,2014000175,2014000505,5900073,7/2/2014 13:41,13:41,7/2/2014 
55,57,KA09HC5175,2018000122,2019000016,5700014,1/24/2019 17:31,17:31,1/24/2019 
68,57,KA03ED5243,2014000189,2014000903,5300032,8/4/2014 20:08,20:08,8/4/2014 
86,57,KA09EG9547,2015000002,2015000018,4600016,1/20/2015 18:55,18:55,1/20/2015 
129,57,KA-09-ER-1521,2014000097,2014000286,5900083,4/12/2014 19:29,19:29,4/12/2014 
133,57,KA01EK5964,2016000027,2016000177,5700007,4/21/2016 11:28,11:28,4/21/2016 
137,57,KA05AC6218,2018000061,2018000359,3200138,7/19/2018 20:55,20:55,7/19/2018 
191,57,KA-13-1009,2014000161,2014000440,4400046,6/13/2014 18:57,18:57,6/13/2014 
193,57,KA01AA1744,2018000053,2018000232,5600020,6/9/2018 20:52,20:52,6/9/2018 
201,57,KA05MQ0951,2017000082,2017002664,4400115,10/11/2017 12:56,12:56,10/11/2017 
203,57,KA09B0404,2018000104,2018000540,4600078,11/11/2018 13:35,13:35,11/11/2018 
223,57,KA09HH1807,2018000040,2018000224,5600027,6/2/2018 20:36,20:36,6/2/2018 
254,57,KA03AF1706,2018000097,2018000484,4900077,10/28/2018 13:57,13:57,10/28/2018 
302,57,KA10L3444,2017000089,2017002694,4500069,11/5/2017 8:40, 8:40,11/5/2017
312,57,KA-09-EQ-0771,2014000046,2014000168,5800003,3/1/2014 10:46,10:46,3/1/2014 
334,57,KA09EA6873,2018000001,2018000008,4300056,1/8/2018 13:30,13:30,1/8/2018 
369,57,KA124280,2017000095,2017002842,5000057,12/19/2017 11:14,11:14,12/19/2017 
383,57,KA02AA5515,2018000060,2018000353,4600028,7/19/2018 20:01,20:01,7/19/2018 
395,57,KA09EH2349,2018000117,2019000006,5900072,1/17/2019 12:23,12:23,1/17/2019 
404,57,KA09HD8884,2018000051,2018000236,106400020,6/10/2018 11:27,11:27,6/10/2018 
437,57,KA01AH8857,2018000123,2019000022,5300043,1/28/2019 20:47,20:47,1/28/2019 
468,57,KA09EU0541,2017000079,2017002632,5900064,9/22/2017 12:05,12:05,9/22/2017 
471,57,KA09EV4387,2014000177,2014000515,5900047,7/2/2014 21:05,21:05,7/2/2014 
501,57,KA02MF9552,2015000046,2015000242,180901017,5/17/2015 13:07,13:07,5/17/2015 
506,57,KA03MF2673,2018000034,2018000244,5300012,6/15/2018 13:10,13:10,6/15/2018 
561,57,KA-01-P-1985,2014000066,2014000267,5900027,4/12/2014 12:20,12:20,4/12/2014 
627,57,KA03C3226,2017000102,2017002724,5700064,12/3/2017 21:29,21:29,12/3/2017 
650,57,KA11B4708,2018000101,2018000523,45400103,11/9/2018 11:34,11:34,11/9/2018 
841,57,KA51M5808,2018000026,2018000135,4800053,4/5/2018 12:52,12:52,4/5/2018 
910,57,KA35W1768,2015000007,2015000042,5900086,1/30/2015 20:29,20:29,1/30/2015 
